id,speciality,language,nr_persoane,subject_ids
1,AI-231,ro,31,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
2,AI-232,ru,15,"1, 3, 10, 11, 4, 5, 6, 39, 37, 40, 2, 13, 14, 12, 7, 9, 8, 38"
3,CR-231,ro,28,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
4,CR-232,ro,28,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
5,CR-233,ru,25,"1, 3, 10, 11, 4, 5, 6, 39, 37, 40, 2, 13, 14, 12, 7, 9, 8, 38"
6,EA-231,ro,8,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
7,EA/MN-232,ru,15,"1, 3, 10, 11, 4, 5, 6, 39, 37, 40, 2, 13, 14, 12, 7, 9, 8, 38"
8,IA-231,ro,26,"3, 16, 4, 1, 5, 6, 39, 40, 19, 2, 18, 14, 7, 9, 8, 17"
9,IA-232,ro,26,"3, 16, 4, 1, 5, 6, 39, 40, 19, 2, 18, 14, 7, 9, 8, 17"
10,IA-233,ro,24,"3, 16, 4, 1, 5, 6, 39, 40, 19, 2, 18, 14, 7, 9, 8, 17"
11,IA-234,ru,19,"3, 16, 4, 1, 5, 6, 39, 37, 38, 40, 19, 2, 18, 14, 7, 9, 8, 17"
12,IA-235,ru,11,"3, 16, 4, 1, 5, 6, 39, 37, 38, 40, 19, 2, 18, 14, 7, 9, 8, 17"
13,SD-231,ro,31,"16, 3, 4, 1, 5, 6, 39, 40, 19, 2, 18, 14, 7, 9, 8 ,17"
14,SD-232,ru,14,"16, 3, 4, 1, 5, 6, 39, 37, 38, 40, 19, 2, 18, 14, 7, 9, 8 ,17"
15,IBM-231,ro,20,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 12, 15, 9, 8, 7"
16,IBM-232,ru,19,"1, 3, 10, 11, 4, 5, 6, 39, 37, 38, 40, 2, 13, 12, 15, 9, 8, 7"
17,MN-231,ro,19,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
18,RM-231,ro,25,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
19,SI-231,ro,29,"3, 11, 10, 1, 5, 6, 4, 39, 40, 13, 2, 12, 7, 20, 8, 14 "
20,SI-232,ro,29,"3, 11, 10, 1, 5, 6, 4, 39, 40, 13, 2, 12, 7, 20, 8, 14 "
21,SI-233,ru,21,"3, 11, 10, 1, 5, 6, 4, 39, 37, 38, 40, 13, 2, 12, 7, 20, 8, 14 "
22,SI-234,ru,11,"3, 11, 10, 1, 5, 6, 4, 39, 37, 38, 40, 13, 2, 12, 7, 20, 8, 14 "
23,TI-231,ro,28,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
24,TI-232,ro,28,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
25,TI-233,ro,27,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
26,TI-234,ro,27,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
27,TI-235,ro,25,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
28,TI-236,ro,22,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
29,TI-237,ro,23,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
30,TI-238,ru,28,"1, 3, 10, 11, 4, 5, 6, 39, 37, 38, 40, 2, 13, 14, 12, 7, 9, 8"
31,TI-239,ru,27,"1, 3, 10, 11, 4, 5, 6, 39, 37, 38, 40, 2, 13, 14, 12, 7, 9, 8"
32,TI-2310,ru,27,"1, 3, 10, 11, 4, 5, 6, 39, 37, 38, 40, 2, 13, 14, 12, 7, 9, 8"
33,FI-231,fr,10,"1, 3, 10, 11, 4, 5, 6, 39, 40, 2, 13, 14, 12, 7, 9, 8"
34,FAF-231,eng,32,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40"
35,FAF-232,eng,32,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40"
36,FAF-233,eng,31,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 40"
37,AI-221,ro,16,"41, 43, 42, 44, 46, 45, 54, 47, 82, 115, 116, 76, 83, 67, 84, 85, 80 "
38,CR-221,ro,21,"45, 47, 43, 41, 42, 44, 49, 115, 116, 76, 66, 65, 77, 79, 67, 78 "
39,CR-222,ro,25,"45, 47, 43, 41, 42, 44, 49, 115, 116, 76, 66, 65, 77, 79, 67, 78 "
40,CR-223,ru,25,"45, 47, 43, 41, 42, 44, 49, 115, 116, 76, 66, 65, 77, 79, 67, 78 "
41,EA-221,ro,4,"41, 60, 42, 61,  57, 46, 47, 115, 116, 89, 93, 82, 98, 99, 96, 95 "
42,IA-221,ro,19,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 73, 74, 71, 67, 68, 69   "
43,IA-222,ro,23,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 73, 74, 71, 67, 68, 69   "
44,IA-223,ro,18,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 73, 74, 71, 67, 68, 69   "
45,IA-224,ru,16,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 73, 74, 71, 67, 68, 69   "
46,IA-225,ru,12,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 73, 74, 71, 67, 68, 69   "
47,MI-221,ro,13,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 65, 70, 71, 69, 67, 68  "
48,MI-222,ro,20,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 65, 70, 71, 69, 67, 68  "
49,MI-223,ru,23,"43, 42, 46, 63, 62, 75, 115, 116, 64, 65, 66, 65, 70, 71, 69, 67, 68  "
50,IBM-221,ro,20,"41,  58, 59, 42, 117, 56, 46, 47, 115, 116, 89, 90, 94, 92, 95, 101 "
51,IBM-222,ru,15,"41,  58, 59, 42, 117, 56, 46, 47, 115, 116, 89, 90, 94, 92, 95, 101 "
52,MN-221,ro,10,"41,  55, 42, 56, 57, 46, 47, 115, 116, 89,  91, 90, 94, 97, 96, 95 "
53,MN-222,ru,12,"41,  55, 42, 56, 57, 46, 47, 115, 116, 89,  91, 90, 94, 97, 96, 95 "
54,RM-221,ro,17,"46, 47, 43, 42, 41, 44, 50, 51, 115, 116, 68, 78, 66, 76, 80, 81, 79,  "
55,RM-222,ru,11,"46, 47, 43, 42, 41, 44, 50, 51, 115, 116, 68, 78, 66, 76, 80, 81, 79,  "
56,SI-221,ro,27,"41, 43, 42, 44, 46, 47, 52, 53, 115, 116, 68, 77, 76 , 65, 66, 86, 87, 88"
57,SI-222,ru,15,"41, 43, 42, 44, 46, 47, 52, 53, 115, 116, 68, 77, 76 , 65, 66, 86, 87, 88"
58,TI-221,ro,24,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
59,TI-222,ro,22,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
60,TI-223,ro,23,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
61,TI-224,ro,22,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
62,TI-225,ro,25,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
63,TI-226,ro,21,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
64,TI-227,ru,24,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
65,TI-228,ru,22,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
66,TI-229,ru,27,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
67,TI-2210,ru,15,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
68,FI-221,fr,18,"41, 43, 42, 44, 46,47, 52, 53, 115, 116, 68, 77, 76, 65, 66, 86, 87  "
69,FAF-221,eng,28,"102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116"
70,FAF-222,eng,29,"102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116"
71,FAF-223,eng,28,"102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116"